period,time,x,y,freeKick,rightFoot,leftFoot,head,opportunity,goal
1,1616,78,32,1,1,0,0,1,0
1,1721,90,50,0,0,0,1,1,0
1,2032,95,65,0,0,0,1,1,0
1,2247,89,23,0,1,0,0,0,0
1,2249,95,64,0,1,0,0,1,0
1,2461,77,38,0,0,1,0,1,0
1,2617,95,59,0,1,0,0,1,0
1,2619,78,53,0,1,0,0,0,0
1,2756,85,46,0,1,0,0,0,0
2,24,90,17,0,0,1,0,1,1
2,140,80,72,0,0,1,0,0,0
2,304,80,63,0,1,0,0,1,0
2,306,92,50,0,0,0,1,1,1
2,488,92,67,0,1,0,0,1,0
2,526,86,52,0,0,0,1,1,0
2,971,75,37,0,1,0,0,1,0
2,1381,84,28,0,1,0,0,0,0
2,1449,81,64,0,0,1,0,1,0
2,1715,79,81,0,0,1,0,1,0
2,2259,92,54,0,1,0,0,1,0
2,2865,91,39,0,0,0,1,1,0
1,249,80,69,0,1,0,0,0,0
1,822,88,65,0,0,0,1,1,0
1,913,77,44,0,1,0,0,0,0
1,975,89,33,0,0,1,0,1,0
1,1320,86,31,0,0,1,0,0,0
1,1325,67,38,0,1,0,0,0,0
1,1420,85,44,0,0,1,0,1,0
1,1921,95,36,0,1,0,0,1,0
1,2534,88,52,0,0,0,1,1,0
2,149,88,71,0,1,0,0,1,0
2,629,86,24,0,0,1,0,0,0
2,743,87,67,0,1,0,0,1,0
2,1005,82,32,0,1,0,0,1,0
2,1008,90,63,0,0,1,0,1,0
2,1258,86,51,0,1,0,0,1,1
2,1372,88,56,0,0,1,0,1,0
2,1532,90,57,0,0,0,1,1,0
2,1569,87,38,0,1,0,0,0,0
2,2043,90,45,0,0,0,1,1,0
2,2054,59,26,0,1,0,0,0,0
2,2258,91,46,0,0,0,1,1,0
2,2410,88,29,0,1,0,0,1,0
2,2508,87,40,0,1,0,0,1,0
2,2644,87,60,0,1,0,0,1,0
2,2776,86,56,0,0,0,1,1,0
1,73,97,40,0,0,0,1,1,0
