period,time,x,y,target,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,1260,73,42,1.0,0,0,1,0,0,0
2,1623,93,32,0.0,0,0,1,0,1,0
2,1862,74,68,0.0,0,0,1,0,1,0
2,2361,77,71,1.0,1,0,1,0,1,0
2,2538,82,12,1.0,1,1,0,0,1,0
2,2588,88,39,1.0,0,1,0,0,1,0
2,2684,90,30,1.0,0,0,1,0,1,1
2,2770,79,51,1.0,0,1,0,0,1,0
2,2896,98,32,0.0,0,1,0,0,1,0
2,2919,90,39,0.0,0,0,0,1,1,0
1,177,88,54,1.0,0,1,0,0,1,0
1,657,96,45,0.0,0,0,1,0,1,0
1,919,67,31,0.0,1,1,0,0,0,0
1,1147,77,31,0.0,0,1,0,0,1,1
1,2357,88,32,1.0,0,1,0,0,0,0
1,2770,92,43,0.0,0,0,0,1,1,0
2,32,71,53,1.0,0,1,0,0,1,0
2,272,97,51,1.0,0,0,0,1,1,1
2,714,75,35,0.0,0,1,0,0,0,0
2,715,86,32,0.0,0,1,0,0,0,0
2,723,93,27,0.0,0,1,0,0,1,0
2,840,71,46,0.0,0,1,0,0,0,0
2,1242,74,61,0.0,0,1,0,0,0,0
2,1263,79,68,0.0,0,1,0,0,0,0
2,1275,78,68,0.0,0,0,1,0,0,0
2,1444,90,41,0.0,0,1,0,0,1,0
2,1629,64,71,1.0,0,0,1,0,1,0
2,1865,73,70,0.0,0,1,0,0,0,0
2,1925,74,38,0.0,0,1,0,0,1,0
2,2173,94,69,0.0,0,1,0,0,1,0
2,2542,89,35,0.0,0,0,0,1,1,0
2,2610,74,72,1.0,0,0,1,0,0,0
2,2683,91,46,0.0,0,0,0,1,1,0
2,2743,87,41,0.0,0,1,0,0,1,0
2,3034,92,36,0.0,0,0,1,0,1,0
1,60,84,47,1.0,0,0,0,1,1,0
1,101,98,67,0.0,0,1,0,0,1,0
1,146,89,52,0.0,0,0,0,1,1,0
1,409,75,20,1.0,0,0,1,0,0,0
1,680,93,62,0.0,0,0,0,1,1,0
1,758,87,61,1.0,0,1,0,0,0,0
1,2304,74,52,0.0,0,0,1,0,1,0
1,2499,78,35,0.0,0,1,0,0,1,0
2,287,90,49,1.0,0,1,0,0,1,0
